shipment_id,ship_date,order_id,carrier_id,carrier_name,service_level,origin_region,destination_zone,package_weight_lb,package_length_in,package_width_in,package_height_in,billed_weight_lb,base_cost,fuel_surcharge,residential_fee,delivery_area_fee,oversized_fee,address_correction_fee,ltl_handling_fee,total_shipping_cost,delivered_days,dimensional_weight_lb,billed_above_actual_flag,non_fuel_surcharge_total,cost_per_billed_lb,weight_delta_lb,base_rate_per_lb,proposed_rate_per_lb,proposed_cost,row_potential_savings,savings_pct,lane
SHP100441,2024-02-08,ORD800690,CR002,FedEx,2Day,West,7,9.06,24,16,21,58.5,1518.66,186.52,4.95,0.0,18.5,0.0,0.0,1728.63,3,58.01,1,23.45,29.55,49.44,25.96,23.329,1388.2,340.43,0.1969,West → Zone 7
SHP100442,2025-01-21,ORD800992,CR001,UPS,2nd Day Air,Northeast,5,1.59,18,25,14,45.5,627.9,87.52,4.95,0.0,18.5,0.0,0.0,738.87,5,45.32,1,23.45,16.24,43.91,13.8,12.661,599.53,139.34,0.1886,Northeast → Zone 5
SHP100443,2024-01-20,ORD804099,CR001,UPS,Ground,South,6,5.11,9,7,23,10.5,86.31,15.16,4.95,0.0,0.0,0.0,0.0,106.42,3,10.42,1,4.95,10.14,5.39,8.22,7.479,83.48,22.94,0.2156,South → Zone 6
SHP100444,2025-04-16,ORD803027,CR004,XPO LTL,Standard LTL,Midwest,2,121.67,28,41,25,206.5,122.45,20.28,0.0,0.0,0.0,0.0,0.0,142.74,3,206.47,1,0.0,0.69,84.83,0.593,0.568,117.29,25.45,0.1783,Midwest → Zone 2
SHP100445,2025-06-28,ORD800207,CR001,UPS,Ground,Midwest,6,3.4,14,19,23,44.5,449.0,58.23,0.0,0.0,0.0,0.0,0.0,507.24,3,44.01,1,0.0,11.4,41.1,10.09,9.085,404.28,102.96,0.203,Midwest → Zone 6
SHP100446,2024-05-02,ORD803496,CR002,FedEx,2Day,Northeast,3,5.31,8,11,22,14.0,145.18,21.26,0.0,0.0,0.0,0.0,0.0,166.44,4,13.93,1,0.0,11.89,8.69,10.37,9.451,132.31,34.13,0.2051,Northeast → Zone 3
SHP100447,2025-03-12,ORD803285,CR003,USPS,Ground Advantage,Midwest,6,16.85,23,19,15,47.5,372.88,66.26,4.95,0.0,0.0,0.0,0.0,444.08,4,47.16,1,4.95,9.35,30.65,7.85,7.675,369.51,74.57,0.1679,Midwest → Zone 6
SHP100448,2025-05-06,ORD802520,CR002,FedEx,Ground,West,6,5.08,17,6,8,6.0,44.94,4.65,4.95,0.0,0.0,0.0,0.0,54.54,1,5.87,1,4.95,9.09,0.92,7.49,6.723,45.29,9.25,0.1696,West → Zone 6
SHP100449,2025-07-06,ORD801082,CR001,UPS,Ground,West,4,8.3,25,7,20,25.5,227.97,33.59,4.95,0.0,18.5,0.0,0.0,285.01,5,25.18,1,23.45,11.18,17.2,8.94,8.021,227.99,57.02,0.2001,West → Zone 4
SHP100450,2024-09-16,ORD803359,CR003,USPS,Ground Advantage,Midwest,6,11.35,8,20,12,14.0,89.6,9.19,0.0,0.0,0.0,0.0,0.0,98.79,5,13.81,1,0.0,7.06,2.65,6.4,6.28,87.92,10.87,0.11,Midwest → Zone 6
SHP100451,2025-09-13,ORD803932,CR003,USPS,Ground Advantage,South,4,13.41,4,8,16,13.5,74.38,12.97,4.95,0.0,0.0,0.0,0.0,92.3,4,3.68,1,4.95,6.84,0.09,5.51,5.389,77.7,14.6,0.1582,South → Zone 4
SHP100452,2024-11-26,ORD800672,CR002,FedEx,Ground,Northeast,8,24.68,6,7,14,25.0,289.0,44.58,4.95,0.0,0.0,0.0,0.0,338.53,3,4.23,1,4.95,13.54,0.32,11.56,10.422,265.5,73.03,0.2157,Northeast → Zone 8
SHP100453,2025-08-12,ORD800623,CR001,UPS,Ground,Northeast,5,11.39,18,25,7,23.0,218.96,22.17,4.95,0.0,0.0,0.0,0.0,246.08,3,22.66,1,4.95,10.7,11.61,9.52,8.563,201.9,44.18,0.1795,Northeast → Zone 5
SHP100454,2024-10-05,ORD801160,CR003,USPS,Ground Advantage,West,7,7.97,11,25,19,38.0,315.4,35.07,4.95,0.0,0.0,0.0,0.0,355.42,4,37.59,1,4.95,9.35,30.03,8.3,8.13,313.89,41.53,0.1168,West → Zone 7
SHP100455,2024-12-01,ORD801212,CR002,FedEx,Ground,South,6,11.14,11,17,19,26.0,269.88,29.87,0.0,0.0,0.0,0.0,0.0,299.75,3,25.56,1,0.0,11.53,14.86,10.38,9.4,244.4,55.35,0.1847,South → Zone 6
SHP100456,2025-02-23,ORD802758,CR002,FedEx,Ground,Midwest,5,1.81,25,21,9,34.0,332.86,33.67,4.95,0.0,0.0,0.0,0.0,371.48,5,33.99,1,4.95,10.93,32.19,9.79,8.841,305.54,65.94,0.1775,Midwest → Zone 5
SHP100457,2024-10-14,ORD800684,CR003,USPS,Ground Advantage,South,4,5.41,25,25,4,18.0,99.18,17.25,4.95,0.0,0.0,0.0,0.0,121.38,4,17.99,1,4.95,6.74,12.59,5.51,5.389,101.95,19.43,0.1601,South → Zone 4
SHP100458,2025-07-31,ORD801331,CR001,UPS,Ground,Northeast,2,3.25,17,25,16,49.0,382.2,56.0,4.95,0.0,18.5,0.0,0.0,461.65,4,48.92,1,23.45,9.42,45.75,7.8,7.081,370.42,91.23,0.1976,Northeast → Zone 2
SHP100459,2024-03-10,ORD800043,CR002,FedEx,Ground,West,4,3.15,8,12,13,9.0,56.79,6.2,4.95,0.0,0.0,0.0,0.0,67.94,5,8.98,1,4.95,7.55,5.85,6.31,5.734,56.56,11.38,0.1675,West → Zone 4
SHP100460,2025-01-11,ORD802018,CR002,FedEx,Ground,West,7,0.77,5,4,10,1.5,10.96,1.59,4.95,0.0,0.0,0.0,0.0,17.51,4,1.44,1,4.95,11.67,0.73,7.31,6.611,14.87,2.64,0.1508,West → Zone 7
SHP100461,2025-06-30,ORD801741,CR002,FedEx,Ground,South,2,4.63,23,21,7,24.5,196.73,27.99,0.0,0.0,18.5,0.0,0.0,243.22,5,24.32,1,18.5,9.93,19.87,8.03,7.178,194.36,48.86,0.2009,South → Zone 2
SHP100462,2024-09-06,ORD803306,CR001,UPS,Ground,Northeast,2,5.67,21,10,16,24.5,191.1,23.75,0.0,0.0,0.0,0.0,0.0,214.85,3,24.17,1,0.0,8.77,18.83,7.8,7.081,173.48,41.37,0.1926,Northeast → Zone 2
SHP100463,2024-08-21,ORD800134,CR001,UPS,Ground,Midwest,5,12.23,19,13,15,27.0,257.04,33.41,4.95,0.0,0.0,0.0,0.0,295.4,7,26.65,1,4.95,10.94,14.77,9.52,8.563,236.15,59.25,0.2006,Midwest → Zone 5
SHP100464,2024-03-04,ORD801115,CR004,XPO LTL,Expedited LTL,Midwest,2,256.07,39,21,23,256.5,190.07,25.96,0.0,0.0,0.0,0.0,0.0,216.03,5,135.52,1,0.0,0.84,0.43,0.741,0.709,181.86,34.17,0.1582,Midwest → Zone 2
SHP100465,2024-07-23,ORD802917,CR001,UPS,Ground,South,5,14.97,19,19,20,52.0,786.76,129.13,4.95,0.0,0.0,0.0,0.0,920.84,5,51.94,1,4.95,17.71,37.03,15.13,13.82,723.59,197.25,0.2142,South → Zone 5
SHP100466,2025-06-16,ORD800712,CR002,FedEx,Ground,Midwest,7,13.7,22,19,18,54.5,912.88,140.16,0.0,0.0,0.0,0.0,0.0,1053.03,4,54.13,1,0.0,19.32,40.8,16.75,14.947,814.61,238.42,0.2264,Midwest → Zone 7
SHP100467,2025-03-04,ORD801494,CR002,FedEx,Ground,Midwest,4,4.63,25,23,22,91.5,1370.67,206.53,4.95,0.0,0.0,0.0,0.0,1582.15,2,91.01,1,4.95,17.29,86.87,14.98,13.738,1261.98,320.17,0.2024,Midwest → Zone 4
SHP100468,2025-08-13,ORD801692,CR001,UPS,Ground,South,7,1.34,19,13,25,44.5,474.37,53.66,4.95,6.75,0.0,0.0,0.0,539.73,6,44.42,1,11.7,12.13,43.16,10.66,9.772,446.55,93.18,0.1726,South → Zone 7
SHP100469,2025-10-20,ORD800755,CR004,XPO LTL,Standard LTL,West,7,395.9,20,33,19,396.0,374.22,67.35,0.0,0.0,0.0,0.0,24.0,465.57,6,90.22,1,24.0,1.18,0.1,0.945,0.891,376.84,88.73,0.1906,West → Zone 7
SHP100470,2025-10-01,ORD802268,CR001,UPS,Ground,Midwest,7,7.33,22,24,6,23.0,245.18,34.64,4.95,0.0,0.0,0.0,0.0,284.77,4,22.79,1,4.95,12.38,15.67,10.66,9.772,229.71,55.06,0.1933,Midwest → Zone 7
SHP100471,2025-02-14,ORD803407,CR002,FedEx,Express Saver,South,7,5.4,6,25,11,12.0,146.52,22.33,4.95,6.75,0.0,0.0,0.0,180.55,3,11.87,1,11.7,15.05,6.6,12.21,11.059,144.41,36.14,0.2002,South → Zone 7
SHP100472,2024-09-05,ORD802550,CR003,USPS,Ground Advantage,South,6,6.95,23,16,5,13.5,86.4,8.91,0.0,0.0,0.0,0.0,0.0,95.31,4,13.24,1,0.0,7.06,6.55,6.4,6.28,84.78,10.53,0.1105,South → Zone 6
SHP100473,2025-06-26,ORD803947,CR003,USPS,Ground Advantage,Midwest,4,3.71,23,13,12,26.0,180.96,23.97,0.0,0.0,0.0,0.0,0.0,204.93,5,25.81,1,0.0,7.88,22.29,6.96,6.806,176.96,27.97,0.1365,Midwest → Zone 4
SHP100474,2025-05-04,ORD803659,CR003,USPS,Priority Mail,Northeast,5,4.23,15,10,20,22.0,231.44,40.59,0.0,0.0,0.0,0.0,0.0,272.03,4,21.58,1,0.0,12.36,17.77,10.52,10.126,222.77,49.26,0.1811,Northeast → Zone 5
SHP100475,2025-08-17,ORD802810,CR003,USPS,Ground Advantage,West,3,14.83,4,22,9,15.0,75.9,11.49,4.95,0.0,0.0,0.0,0.0,92.34,2,5.7,1,4.95,6.16,0.17,5.06,4.914,78.66,13.68,0.1481,West → Zone 3
SHP100476,2024-04-14,ORD803937,CR004,XPO LTL,Standard LTL,Midwest,6,190.85,28,51,50,514.0,490.87,76.02,0.0,0.0,0.0,0.0,0.0,566.89,4,513.67,1,0.0,1.1,323.15,0.955,0.888,456.43,110.46,0.1949,Midwest → Zone 6
SHP100477,2024-02-11,ORD801941,CR001,UPS,Ground,South,5,11.56,7,12,19,12.0,91.68,13.06,4.95,0.0,0.0,0.0,0.0,109.69,2,11.48,1,4.95,9.14,0.44,7.64,6.96,88.47,21.22,0.1935,South → Zone 5
SHP100478,2024-08-08,ORD802865,CR002,FedEx,2Day,South,8,28.44,15,17,11,28.5,510.44,88.23,0.0,0.0,0.0,0.0,0.0,598.66,4,20.18,1,0.0,21.01,0.06,17.91,16.024,456.68,141.98,0.2372,South → Zone 8
SHP100479,2025-06-11,ORD803039,CR001,UPS,Ground,Northeast,4,2.03,5,10,12,4.5,25.92,2.95,4.95,0.0,0.0,0.0,0.0,33.82,4,4.32,1,4.95,7.52,2.47,5.76,5.189,28.3,5.52,0.1632,Northeast → Zone 4
SHP100480,2025-09-26,ORD803817,CR003,USPS,Ground Advantage,South,2,11.8,8,23,25,33.5,203.34,26.78,0.0,0.0,0.0,0.0,0.0,230.13,2,33.09,1,0.0,6.87,21.7,6.07,5.925,198.49,31.64,0.1375,South → Zone 2
SHP100481,2024-09-22,ORD801955,CR003,USPS,Ground Advantage,Northeast,7,19.43,18,22,21,60.0,760.2,82.29,0.0,0.0,0.0,0.0,0.0,842.49,4,59.83,1,0.0,14.04,40.57,12.67,12.272,736.32,106.17,0.126,Northeast → Zone 7
SHP100482,2024-12-31,ORD803702,CR003,USPS,Ground Advantage,Midwest,3,5.34,10,25,22,40.0,260.8,46.67,0.0,0.0,0.0,0.0,0.0,307.47,3,39.57,1,0.0,7.69,34.66,6.52,6.405,256.2,51.27,0.1667,Midwest → Zone 3
SHP100483,2025-10-07,ORD801980,CR001,UPS,Ground,South,4,0.31,18,14,22,40.0,357.6,45.5,0.0,0.0,0.0,0.0,0.0,403.1,2,39.88,1,0.0,10.08,39.69,8.94,8.021,320.84,82.26,0.2041,South → Zone 4
SHP100484,2024-01-10,ORD802527,CR004,XPO LTL,Standard LTL,Northeast,5,172.33,33,25,41,243.5,187.98,29.16,0.0,0.0,0.0,0.0,0.0,217.14,5,243.35,1,0.0,0.89,71.17,0.772,0.73,177.75,39.39,0.1814,Northeast → Zone 5
SHP100485,2025-06-30,ORD800723,CR001,UPS,Ground,Northeast,7,10.1,20,4,5,10.5,92.29,15.22,0.0,0.0,0.0,0.0,0.0,107.51,4,2.88,1,0.0,10.24,0.4,8.79,8.015,84.16,23.35,0.2172,Northeast → Zone 7
SHP100486,2025-12-23,ORD800718,CR001,UPS,Ground,South,3,7.4,6,18,4,7.5,41.7,6.11,0.0,0.0,0.0,0.0,0.0,47.81,3,3.11,1,0.0,6.37,0.1,5.56,5.036,37.77,10.04,0.21,South → Zone 3
SHP100487,2025-08-05,ORD803364,CR002,FedEx,Ground,Midwest,3,10.11,8,7,25,10.5,70.25,11.02,0.0,0.0,18.5,0.0,0.0,99.76,3,10.07,1,18.5,9.5,0.39,6.69,5.949,80.96,18.8,0.1885,Midwest → Zone 3
SHP100488,2025-03-22,ORD802223,CR003,USPS,Priority Mail,Northeast,8,3.61,19,11,20,30.5,378.81,56.48,0.0,6.75,0.0,0.0,0.0,442.04,5,30.07,1,6.75,14.49,26.89,12.42,11.939,370.89,71.15,0.161,Northeast → Zone 8
SHP100489,2024-07-29,ORD801746,CR004,XPO LTL,Standard LTL,Northeast,2,330.39,24,31,28,330.5,213.17,31.36,0.0,0.0,0.0,0.0,0.0,244.53,6,149.87,1,0.0,0.74,0.11,0.645,0.613,202.6,41.93,0.1715,Northeast → Zone 2
SHP100490,2025-10-10,ORD803836,CR001,UPS,Ground,West,5,11.37,13,16,15,22.5,214.2,38.03,0.0,0.0,0.0,0.0,0.0,252.23,2,22.45,1,0.0,11.21,11.13,9.52,8.563,192.67,59.56,0.2361,West → Zone 5
SHP100491,2025-11-10,ORD802729,CR001,UPS,Ground,West,2,13.29,25,18,8,26.0,202.8,23.54,4.95,0.0,0.0,0.0,0.0,231.29,3,25.9,1,4.95,8.9,12.71,7.8,7.081,189.06,42.23,0.1826,West → Zone 2
SHP100492,2025-10-27,ORD802386,CR004,XPO LTL,Standard LTL,Midwest,6,104.01,44,44,42,585.0,558.67,65.08,0.0,0.0,0.0,0.0,0.0,623.75,3,584.98,1,0.0,1.07,480.99,0.955,0.888,519.48,104.27,0.1672,Midwest → Zone 6
SHP100493,2025-10-25,ORD802265,CR003,USPS,Ground Advantage,West,3,3.9,9,8,17,9.0,38.97,5.66,4.95,0.0,0.0,0.0,0.0,49.58,2,8.81,1,4.95,5.51,5.1,4.33,4.199,42.74,6.84,0.138,West → Zone 3
SHP100494,2025-11-15,ORD800837,CR002,FedEx,2Day,South,5,14.79,10,5,15,15.0,182.85,32.36,0.0,0.0,0.0,0.0,0.0,215.21,5,5.4,1,0.0,14.35,0.21,12.19,11.129,166.94,48.27,0.2243,South → Zone 5
SHP100495,2025-07-06,ORD803506,CR001,UPS,Ground,Northeast,5,11.78,19,23,19,60.0,907.8,128.34,0.0,0.0,0.0,0.0,0.0,1036.14,4,59.73,1,0.0,17.27,48.22,15.13,13.82,829.2,206.94,0.1997,Northeast → Zone 5
SHP100496,2024-11-03,ORD801950,CR002,FedEx,Ground,South,4,1.38,6,10,11,5.0,31.55,3.97,0.0,0.0,0.0,0.0,0.0,35.52,5,4.75,1,0.0,7.1,3.62,6.31,5.734,28.67,6.85,0.1928,South → Zone 4
SHP100497,2024-06-20,ORD800303,CR001,UPS,Ground,West,6,6.25,16,9,22,23.0,232.07,26.47,4.95,0.0,0.0,0.0,0.0,263.49,3,22.79,1,4.95,11.46,16.75,10.09,9.085,213.91,49.58,0.1882,West → Zone 6
SHP100498,2025-03-12,ORD802649,CR003,USPS,Priority Mail,Northeast,5,15.6,8,24,21,29.5,310.34,40.47,4.95,0.0,0.0,0.0,0.0,355.76,3,29.01,1,4.95,12.06,13.9,10.52,10.126,303.67,52.09,0.1464,Northeast → Zone 5
SHP100499,2024-09-08,ORD803838,CR001,UPS,Ground,Midwest,5,5.7,23,17,18,51.0,771.63,125.52,4.95,0.0,0.0,12.0,0.0,914.1,5,50.63,1,16.95,17.92,45.3,15.13,13.82,721.77,192.33,0.2104,Midwest → Zone 5
SHP100500,2024-01-08,ORD803719,CR002,FedEx,Ground,South,4,4.91,23,18,18,54.0,808.92,94.28,0.0,0.0,0.0,0.0,0.0,903.2,4,53.61,1,0.0,16.73,49.09,14.98,13.738,741.85,161.35,0.1786,South → Zone 4
SHP100501,2025-03-24,ORD802550,CR002,FedEx,Ground,Midwest,6,3.11,16,12,18,25.0,259.5,33.88,0.0,0.0,0.0,0.0,0.0,293.38,6,24.86,1,0.0,11.74,21.89,10.38,9.4,235.0,58.38,0.199,Midwest → Zone 6
SHP100502,2024-09-01,ORD802394,CR002,FedEx,Ground,Midwest,6,4.49,16,11,25,32.0,332.16,50.59,0.0,6.75,0.0,0.0,0.0,389.5,6,31.65,1,6.75,12.17,27.51,10.38,9.4,307.55,81.95,0.2104,Midwest → Zone 6
SHP100503,2024-11-22,ORD801472,CR001,UPS,Next Day Air,South,8,4.05,11,20,11,17.5,327.6,55.49,4.95,0.0,0.0,0.0,0.0,388.04,2,17.41,1,4.95,22.17,13.45,18.72,17.079,303.83,84.21,0.217,South → Zone 8
SHP100504,2024-11-02,ORD803598,CR001,UPS,Next Day Air,West,3,12.51,24,25,20,86.5,2420.27,368.21,0.0,0.0,0.0,0.0,0.0,2788.48,3,86.33,1,0.0,32.24,73.99,27.98,25.455,2201.86,586.62,0.2104,West → Zone 3
SHP100505,2024-06-27,ORD802992,CR003,USPS,Ground Advantage,South,5,4.34,13,19,11,20.0,148.2,24.08,0.0,0.0,0.0,0.0,0.0,172.28,6,19.55,1,0.0,8.61,15.66,7.41,7.195,143.9,28.38,0.1647,South → Zone 5
SHP100506,2024-10-19,ORD801451,CR001,UPS,Ground,West,7,7.34,23,8,9,12.0,105.48,16.11,4.95,0.0,0.0,0.0,0.0,126.54,3,11.91,1,4.95,10.54,4.66,8.79,8.015,101.13,25.41,0.2008,West → Zone 7
SHP100507,2024-12-28,ORD803956,CR002,FedEx,Ground,West,6,17.5,18,13,7,18.0,152.1,25.29,4.95,0.0,0.0,0.0,0.0,182.34,5,11.78,1,4.95,10.13,0.5,8.45,7.812,145.57,36.77,0.2017,West → Zone 6
SHP100508,2024-07-15,ORD802659,CR001,UPS,Next Day Air,Northeast,2,2.46,17,6,21,15.5,183.83,28.35,4.95,0.0,0.0,0.0,0.0,217.13,2,15.41,1,4.95,14.01,13.04,11.86,10.756,171.67,45.46,0.2094,Northeast → Zone 2
SHP100509,2025-07-14,ORD802212,CR001,UPS,Ground,Northeast,7,6.56,18,18,6,14.0,123.06,12.4,4.95,0.0,0.0,0.0,0.0,140.41,4,13.99,1,4.95,10.03,7.44,8.79,8.015,117.16,23.25,0.1656,Northeast → Zone 7
SHP100510,2025-02-04,ORD801793,CR002,FedEx,Ground,Northeast,2,12.78,15,25,18,49.0,393.47,54.71,4.95,0.0,0.0,0.0,0.0,453.13,3,48.56,1,4.95,9.25,36.22,8.03,7.178,356.67,96.46,0.2129,Northeast → Zone 2
SHP100511,2025-04-06,ORD802278,CR003,USPS,Ground Advantage,South,5,10.54,24,4,14,11.0,65.45,11.71,0.0,0.0,0.0,0.0,0.0,77.16,3,9.67,1,0.0,7.01,0.46,5.95,5.764,63.4,13.76,0.1783,South → Zone 5
SHP100512,2024-09-02,ORD802179,CR001,UPS,Ground,South,5,1.71,6,22,13,12.5,95.5,16.33,4.95,0.0,0.0,0.0,0.0,116.78,3,12.35,1,4.95,9.34,10.79,7.64,6.96,91.95,24.83,0.2126,South → Zone 5
SHP100513,2025-03-16,ORD802521,CR001,UPS,2nd Day Air,Northeast,6,4.36,15,24,14,36.5,534.0,94.44,4.95,6.75,0.0,0.0,0.0,640.14,5,36.26,1,11.7,17.54,32.14,14.63,13.51,504.81,135.33,0.2114,Northeast → Zone 6
SHP100514,2024-04-18,ORD803227,CR003,USPS,Ground Advantage,Northeast,5,10.94,22,13,18,37.5,277.88,32.55,4.95,0.0,0.0,0.0,0.0,315.37,2,37.04,1,4.95,8.41,26.56,7.41,7.195,274.76,40.61,0.1288,Northeast → Zone 5
SHP100515,2024-05-26,ORD800352,CR001,UPS,2nd Day Air,South,6,3.18,18,20,25,65.0,1480.05,197.33,0.0,6.75,0.0,0.0,0.0,1684.13,1,64.75,1,6.75,25.91,61.82,22.77,20.613,1346.6,337.53,0.2004,South → Zone 6
SHP100516,2024-06-04,ORD800874,CR002,FedEx,2Day,Midwest,4,4.0,12,13,25,28.5,406.41,48.35,4.95,0.0,0.0,0.0,0.0,459.71,3,28.06,1,4.95,16.13,24.5,14.26,12.802,369.81,89.9,0.1956,Midwest → Zone 4
SHP100517,2024-12-29,ORD800818,CR002,FedEx,Ground,South,4,9.55,8,19,7,10.0,72.8,11.67,4.95,0.0,0.0,0.0,0.0,89.42,5,7.65,1,4.95,8.94,0.45,7.28,6.579,70.74,18.68,0.2089,South → Zone 4
SHP100518,2025-10-25,ORD800802,CR001,UPS,Ground,South,4,17.21,11,23,11,20.5,183.27,25.37,4.95,0.0,18.5,0.0,0.0,232.09,3,20.02,1,23.45,11.32,3.29,8.94,8.021,187.88,44.21,0.1905,South → Zone 4
SHP100519,2025-06-10,ORD802331,CR004,XPO LTL,Standard LTL,West,6,131.52,20,36,19,132.0,102.96,11.92,0.0,0.0,0.0,0.0,0.0,114.88,6,98.42,1,0.0,0.87,0.48,0.78,0.734,96.89,17.99,0.1566,West → Zone 6
SHP100520,2025-04-02,ORD802952,CR002,FedEx,Express Saver,Northeast,7,7.87,10,18,24,31.5,466.52,56.1,4.95,0.0,18.5,12.0,0.0,558.07,3,31.08,1,35.45,17.72,23.63,14.81,13.059,446.81,111.26,0.1994,Northeast → Zone 7
SHP100521,2024-07-31,ORD800814,CR002,FedEx,Ground,South,6,24.35,8,12,17,24.5,254.31,32.33,4.95,0.0,0.0,0.0,0.0,291.59,4,11.74,1,4.95,11.9,0.15,10.38,9.4,235.25,56.34,0.1932,South → Zone 6
SHP100522,2025-09-20,ORD803164,CR001,UPS,Ground,Midwest,6,10.27,19,20,9,25.0,252.25,32.42,4.95,6.75,0.0,0.0,0.0,296.37,3,24.6,1,11.7,11.85,14.73,10.09,9.085,238.83,57.54,0.1941,Midwest → Zone 6
SHP100523,2024-08-19,ORD800288,CR001,UPS,Ground,South,3,4.05,12,11,5,5.0,27.8,3.23,4.95,0.0,0.0,0.0,0.0,35.98,3,4.75,1,4.95,7.2,0.95,5.56,5.036,30.13,5.85,0.1626,South → Zone 3
SHP100524,2025-02-23,ORD801332,CR002,FedEx,Ground,South,6,14.87,9,19,11,15.0,126.75,14.06,4.95,0.0,0.0,0.0,0.0,145.76,5,13.53,1,4.95,9.72,0.13,8.45,7.812,122.13,23.63,0.1621,South → Zone 6
SHP100525,2024-11-27,ORD801540,CR001,UPS,Ground,West,4,2.92,11,24,20,38.0,339.72,42.1,4.95,0.0,18.5,0.0,0.0,405.27,2,37.99,1,23.45,10.66,35.08,8.94,8.021,328.25,77.02,0.19,West → Zone 4
SHP100526,2024-09-10,ORD801629,CR001,UPS,2nd Day Air,South,5,16.78,20,12,15,26.0,358.8,64.43,4.95,0.0,0.0,0.0,0.0,428.18,2,25.9,1,4.95,16.47,9.22,13.8,12.661,334.14,94.04,0.2196,South → Zone 5
SHP100527,2024-02-15,ORD802286,CR001,UPS,Ground,South,4,20.93,21,6,16,21.0,187.74,20.25,0.0,0.0,0.0,0.0,0.0,207.99,2,14.5,1,0.0,9.9,0.07,8.94,8.021,168.44,39.55,0.1902,South → Zone 4
SHP100528,2025-08-29,ORD800567,CR003,USPS,Priority Mail,South,5,8.76,9,9,15,9.0,66.78,8.81,4.95,0.0,0.0,0.0,0.0,80.54,2,8.74,1,4.95,8.95,0.24,7.42,7.198,69.73,10.81,0.1342,South → Zone 5
SHP100529,2024-08-18,ORD800552,CR002,FedEx,Ground,Northeast,7,14.56,24,15,5,15.0,135.6,22.03,0.0,0.0,0.0,0.0,0.0,157.63,4,12.95,1,0.0,10.51,0.44,9.04,8.175,122.63,35.0,0.222,Northeast → Zone 7
SHP100530,2025-07-15,ORD800938,CR003,USPS,Priority Mail,Midwest,3,29.67,20,16,22,51.0,788.97,133.31,0.0,0.0,0.0,0.0,0.0,922.28,3,50.65,1,0.0,18.08,21.33,15.47,15.003,765.15,157.13,0.1704,Midwest → Zone 3
SHP100531,2024-03-27,ORD803772,CR003,USPS,Ground Advantage,Midwest,3,0.25,16,7,10,8.5,36.8,5.65,0.0,0.0,0.0,0.0,0.0,42.45,2,8.06,1,0.0,4.99,8.25,4.33,4.199,35.69,6.76,0.1592,Midwest → Zone 3
SHP100532,2025-06-29,ORD802340,CR003,USPS,Ground Advantage,West,8,15.01,22,25,8,32.0,279.68,33.47,0.0,6.75,0.0,12.0,0.0,331.9,4,31.65,1,18.75,10.37,16.99,8.74,8.498,290.69,41.21,0.1242,West → Zone 8
SHP100533,2024-08-13,ORD803749,CR003,USPS,Ground Advantage,South,2,5.07,18,12,14,22.0,133.54,19.3,0.0,0.0,0.0,0.0,0.0,152.84,4,21.76,1,0.0,6.95,16.93,6.07,5.925,130.35,22.49,0.1471,South → Zone 2
SHP100534,2024-12-08,ORD802939,CR002,FedEx,Ground,Midwest,6,8.08,7,25,16,20.5,212.79,26.94,0.0,0.0,0.0,0.0,0.0,239.73,1,20.14,1,0.0,11.69,12.42,10.38,9.4,192.7,47.03,0.1962,Midwest → Zone 6
SHP100535,2025-03-10,ORD802033,CR003,USPS,Ground Advantage,South,3,4.01,22,7,19,21.5,140.18,24.69,0.0,0.0,0.0,0.0,0.0,164.87,4,21.05,1,0.0,7.67,17.49,6.52,6.405,137.71,27.16,0.1647,South → Zone 3
SHP100536,2024-03-01,ORD802397,CR003,USPS,Ground Advantage,Northeast,8,0.5,8,4,9,2.5,14.92,2.04,0.0,0.0,0.0,0.0,0.0,16.96,5,2.07,1,0.0,6.78,2.0,5.97,5.772,14.43,2.53,0.1492,Northeast → Zone 8
SHP100537,2025-02-10,ORD804121,CR003,USPS,Ground Advantage,South,5,13.33,22,13,5,13.5,80.33,8.77,0.0,0.0,0.0,0.0,0.0,89.09,3,10.29,1,0.0,6.6,0.17,5.95,5.764,77.81,11.28,0.1266,South → Zone 5
SHP100538,2025-06-14,ORD801049,CR002,FedEx,Ground,South,5,3.82,11,24,25,47.5,465.02,62.02,0.0,0.0,0.0,0.0,0.0,527.04,3,47.48,1,0.0,11.1,43.68,9.79,8.841,419.95,107.09,0.2032,South → Zone 5
SHP100539,2024-05-17,ORD802523,CR001,UPS,2nd Day Air,Midwest,7,12.53,18,20,24,62.5,1475.0,174.45,4.95,6.75,0.0,0.0,0.0,1661.15,5,62.16,1,11.7,26.58,49.97,23.6,21.497,1355.26,305.89,0.1841,Midwest → Zone 7
SHP100540,2024-12-25,ORD800704,CR001,UPS,Ground,South,6,11.19,25,22,10,40.0,403.6,57.25,4.95,0.0,0.0,0.0,0.0,465.8,5,39.57,1,4.95,11.64,28.81,10.09,9.085,368.35,97.45,0.2092,South → Zone 6
SHP100541,2025-01-23,ORD800581,CR003,USPS,Priority Mail,West,5,10.9,21,24,25,91.0,1522.43,258.67,4.95,0.0,0.0,0.0,0.0,1786.05,5,90.65,1,4.95,19.63,80.1,16.73,16.232,1482.06,303.99,0.1702,West → Zone 5
